timestamp,consciencia_escopo,grupo_principal,grupo_alternativo,interesse_lideranca,objetivo_proposito,"7. O que você gostaria de viver no TechExperience?

Pode ser algum encontro temático pra aprender algo, pode ser uma reunião de interação, pode ser uma dinâmica de quebra-gelo, enfim, o que vier a sua cabeça, pode mandar que a gente avalia a possibilidade e realiza.",bagagem_contribuicao,contribuicao_grupo,compromisso_pessoal,expectativas_pos_projeto,participant_id,consciencia_escopo_padronizada
25/10/2025 12:08:15,Estou ciente do escopo do projeto e quero continuar.,G4 - SUPABASE (Banco de Dados),G1 - Automações Wix,"Não, quero apenas executar as atividades","entender melhor a área, expandir conhecimentos e fazer contatos ",trocas enriquecedoras,"vontade de aprender kkk, organização, bom trabalho em equipe, experiência com administração e bom humor rs",compartilhando conhecimento e me permitindo usar minhas habilidades pra ajudar nos resultados ,dedicar o pouco tempo livre pra esse projeto ,"conhecimento, boas amizades e novas habilidades ",11,Ciente e Quer Continuar
20/10/2025 19:27:26,Estou ciente do escopo do projeto e quero continuar.,G4 - SUPABASE (Banco de Dados),"G2 - API de Orquestração, G3 - Integração WhatsApp","Não, quero apenas executar as atividades","Networking, desenvolvimento rápido junto com meus pares com mão na massa. ","Uma rede de networking, novos aprendizados, crescimento profissional e pessoal.","Conhecimento ágil, conhecimento em análise de dados , trabalho em equipe e vontade de aprender sempre ",Trabalho em equipe e engajamento em aprender e entregar com qualidade no que foi proposto,Dedicacao 5x por semana ,Experiência prática para currículo e rede de contatos para vida e para carreira,12,Ciente e Quer Continuar
20/10/2025 20:14:20,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,"G1 - Automações Wix, G3 - Integração WhatsApp, G4 - SUPABASE (Banco de Dados)","Sim, me sinto a vontade ajudando quem estiver a frente do grupo","Tentar me aprimorar e aprender mais no geral no âmbito tech, ganhar experiência prática que vai além do básico (e realmente já vi que vai ser isso haha)",Um encontro temático pra todes aprenderem um pouco do basico de Node.js?,"Os conhecimentos prévios de Python e Front-End, a vontade de aprender mais e confiança","Trazendo mais conhecimento e interações, conexões",Manter uma rotina assídua sempre que possível para estar no prazo e auxiliar a equipe da forma que puder,"Novas conexões, novo conhecimento e mais experiência",13,Ciente e Quer Continuar
22/10/2025 20:21:37,Estou ciente do escopo do projeto e quero continuar.,G3 - Integração WhatsApp,G2 - API de Orquestração,"Não, quero apenas executar as atividades","Aprender mais sobre a área de tecnologia, integrando isso no meu processo de auto desenvolvimento.",Um encontro para compartilhar experiências na área.,"Proatividade, vontade de aprender, um curso básico de python e um sonho.","Acredito na divulgação de dicas e estratégias de realização, também gosto das interações e isso pode gerar networking","Focar no progresso do projeto, focar no desenvolvimento.","Espero sair mais desenvolvida na área, além de conseguir novas conexões com pessoas da área.",14,Ciente e Quer Continuar
22/10/2025 11:25:54,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,Não tenho interesse por nenhuma outra opção,"Não, quero apenas executar as atividades",aprender mais sobre Backend criando ou fazendo parte de um projeto,"encontros onde as pessoas compartilham seus relatos, programas criados, problemas que estão enfrentando em cada etapa.",o conhecimento adquirido na aula de python,"compartilhando dicas, códigos, tutoriais, duvidas e dificuldades","compartilhar experienciais, e demais duvidas no grupo, assim como ajudar outros com dificuldades também(se souber como)","um projeto para colocar no github, e conforto por saber que posso me abrir para duvidas em um grupo de pessoas.",15,Ciente e Quer Continuar
26/10/2025 19:13:09,Estou ciente do escopo do projeto e quero continuar.,G4 - SUPABASE (Banco de Dados),G2 - API de Orquestração,"Não, quero apenas executar as atividades","aprender e contribuir com minha comunidade trans, alem de ter uma expriencia ","uma interação prencial seria legal, porem sei que seria dificil para todos se encontrarem",apenas python que foi o que aprendi com o curso trans devs,"todo mundo se ajudar nao so na questao do aprendizado mas a se manter firme, porque sei que muitos acabam desistindo por falta de animo",nao sei responder,aprendizado claro mas tambem colegas da area,16,Ciente e Quer Continuar
24/10/2025 09:36:41,"Ainda tenho dúvidas, mas quero continuar no projeto.",G4 - SUPABASE (Banco de Dados),G1 - Automações Wix,"Sim, me sinto a vontade estando a frente e guiando o grupo","Adquirir mais conhecimento na área de TI, para assim conseguir retornar ao mercado de trabalho ",Conhecer pessoas e suas vivências,"A minha experiencia em ter trabalhado com testes de qualidade, e também já ter liderado equipes. ",Troca de conhecimentos,Me dedicar para ampliar meus conhecimentos e novos aprendizados. ,Mais clareza para me realocar no mercado de trabalho. ,17,"Dúvidas, mas Quer Continuar"
21/10/2025 10:01:38,Estou ciente do escopo do projeto e quero continuar.,G1 - Automações Wix,G3 - Integração WhatsApp,"Não, quero apenas executar as atividades","Entrar para a resistência contra as IAs durante a guerra contra as máquinas. Serei conhecida como ""Luana Connor"". 😌💅🏻","Como autista, detesto interações sociais... gostaria de uma experiência incluisiva neste sentido tbm (desculpa pelo balde de água fria 🥲)","Tenho uma boa criatividade. Mas, fora isso eu não sirvo pra nada (kkkkcrying)",Paciência comigo 🙏🏻,Vencer a procrastinação,"""Conhecimento"" - Bilu, E.T.... Quero aprender ferramentas que possam me auxiliar com meu negócio (escola de música).",18,Ciente e Quer Continuar
24/10/2025 21:54:10,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,G4 - SUPABASE (Banco de Dados),"Não, quero apenas executar as atividades",Aprender de tecnologías junto a otras personas trans,Crear códigos e ideas,Ideas y ganas,Con información ,Necesito estudiar ,Conocimiento,19,Ciente e Quer Continuar
22/10/2025 11:41:07,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,"G1 - Automações Wix, G3 - Integração WhatsApp","Sim, me sinto a vontade estando a frente e guiando o grupo",Aprimorar minhas habilidades/portfólio ao mesmo tempo que participo de um projeto com impacto real.,Realmente no momento n me vem nenhuma ideia muito diferenciada. mas acho que a própria experiencia normal já vai ser muito do que eu espero/quero vivenciar,"Acho que pra essa experiência em específico, acredito que curso de gerencia de projetos que eu fiz vai ser bem útil. Não sei se eu gostaria de ser o tipo o ""scrum master"" da equipe, pq n sei se tenho bagagem de programação suficiente pra isso mas poder agir como Project manager ou Product Owner seria interessante.","Acredito que posso aprender muito com outras pessoas da equipe, principalmente em relação à trabalhar com código em um ambiente real sem ser num cenário de desenvolvimento de games. Meu único projeto de produto comercial foi um gestor de apartamentos de temporada.",Não deixar me desmotivar por conta de contratempos que eu não posso controlar.,"aprimoramento de habilidades técnicas e interpessoais, networking, experiencias interessantes e talvez amizades.",20,Ciente e Quer Continuar
20/10/2025 19:26:13,"Ainda tenho dúvidas, mas quero continuar no projeto.",G4 - SUPABASE (Banco de Dados),"G1 - Automações Wix, G2 - API de Orquestração, G3 - Integração WhatsApp","Sim, me sinto a vontade ajudando quem estiver a frente do grupo",Aprender mais sobre banco de dados e continuar minha formação com o TransDevs(fiz o curso de python e gostei muito),Experiências de integração com o grupo e as aulas em si,Experiência em administração e em python,"Sempre me interessei muito pela área de banco de dados, seria um bom contato para eu aprender mais sobre ",Estudar e tentar ter mais contato com as outras pessoas do grupo(sou muito tímido e tenho problemas com socialização),Conhecimentos sobre o curso em si e melhorar minha socialização ,21,"Dúvidas, mas Quer Continuar"
20/10/2025 20:53:41,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,G1 - Automações Wix,"Não, quero apenas executar as atividades","Aprender mais sobre a área de tecnologia, conhecer pessoas e trocar experiências ","Dicas de livros, cursos e vídeos para aprimorar os conhecimentos ",Um pouco do que sei de python,Aperfeiçoar meus conhecimentos e fazer networking ,Realizar as atividades e processos nos prazos estabelecidos ,Conhecimento e quem sabe amigues,22,Ciente e Quer Continuar
24/10/2025 12:19:34,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,"G1 - Automações Wix, G3 - Integração WhatsApp","Não, quero apenas executar as atividades",Adquirir experiência prática e trabalhar em grupo,Interagir com pissoas,Estou atualmente no curso dr Ciência da Computação na Unisinos em Porto Alegre,sendo legais :),Me abrir para uma nova experiência ,contatos de pessoas legais,23,Ciente e Quer Continuar
20/10/2025 21:28:36,"Ainda tenho dúvidas, mas quero continuar no projeto.",G2 - API de Orquestração,G4 - SUPABASE (Banco de Dados),"Não, quero apenas executar as atividades","Aprender mais sobre área de tecnologia, pois só sei html e css","Algo próximo do acampamento dev, pois foi bem legal <3",Conhecimento básico em front end ajudaria em algo ? Kkkk não sei muita coisa mais tenho muita vontade de aprender.,"Ajudando sobre o aprendizado e na comunicação, talvez até fazer amizades",Focar bastante,Conhecimento e conexões,24,"Dúvidas, mas Quer Continuar"
20/10/2025 20:31:26,Estou ciente do escopo do projeto e quero continuar.,G4 - SUPABASE (Banco de Dados),G3 - Integração WhatsApp,"Não, quero apenas executar as atividades",Interação com demais pessoas e ampliação do meu conhecimento,Reunião de interação,Algumas experiências anteriores com programação e analise de dados,União para explorar juntos novos horizontes,Foco e organização para fazer as atividades,"Network, aprendizado, novas oportunidade de trabalho",25,Ciente e Quer Continuar
20/10/2025 21:00:13,Estou ciente do escopo do projeto e quero continuar.,G4 - SUPABASE (Banco de Dados),"G1 - Automações Wix, G2 - API de Orquestração, G3 - Integração WhatsApp","Não, quero apenas executar as atividades",Aumentar meu escopo de habilidades e de ferramentas ,Troca de conhecimentos com colegas e docentes,"HTML, C, e muito lacre",Me ajudar a me inserir em campos desconhecidos,Ir de braços abertos e conhecer coisas e pessoas novas,Uma experiência enriquecedora ,27,Ciente e Quer Continuar
22/10/2025 11:08:17,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,Não tenho interesse por nenhuma outra opção,"Não, quero apenas executar as atividades",Aprender.,Encontro com jogos.,a vontade de aprender.,os ensinamentos.,Preciso focar mais nos meus objetivos.,Todos ensinamentos.,28,Ciente e Quer Continuar
26/10/2025 13:13:25,"Ainda tenho dúvidas, mas quero continuar no projeto.",G4 - SUPABASE (Banco de Dados),G4 - SUPABASE (Banco de Dados),"Não, quero apenas executar as atividades","Eu nunca participei de nada do tipo, então quero adquirir experiência nesse tipo de projeto ","Experiência em projetos de programação, mais parecido com o que empresas fazem","Para ser franco, acredito que nada...","Eu quero estar mais dentro do mundo de projetos, banco de dados, e dinâmica de grupo em empresas ",Estudar mais sobre programação e projetos ,Mais experiência em projetos ,29,"Dúvidas, mas Quer Continuar"
22/10/2025 12:54:02,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,"G1 - Automações Wix, G4 - SUPABASE (Banco de Dados)","Não, quero apenas executar as atividades",Adquirir experiência para o mercado de trabalho ,experiências práticas de um dia a dia na área de TI,Conhecimento com python,Sim,interagir mais,"experiência prática, ter visto como funciona um projeto com prazo, sprints e trabalho em squad",30,Ciente e Quer Continuar
